,시험명,전체,국어,영어,수학,과학,사회,역사,평균
226,AI진단평가,427,86.0,86.0,88.0,67.0,100.0,,85.4
227,AI진단평가,308,100.0,100.0,37.0,,71.0,,77.0
228,AI진단평가,454,86.0,65.0,89.0,61.0,100.0,53.0,75.66666666666667
229,AI진단평가,438,93.0,100.0,72.0,53.0,30.0,90.0,73.0
230,AI진단평가,436,93.0,86.0,88.0,79.0,90.0,,87.2
231,AI진단평가,432,79.0,100.0,63.0,90.0,100.0,,86.4
232,AI진단평가,374,100.0,86.0,88.0,,100.0,,93.5
233,AI진단평가,583,93.0,100.0,100.0,100.0,90.0,100.0,97.16666666666669
234,AI진단평가,362,86.0,86.0,66.0,53.0,71.0,,72.4
235,AI진단평가,420,79.0,100.0,88.0,53.0,100.0,0.0,70.0
236,AI진단평가,455,100.0,93.0,82.0,90.0,90.0,,91.0
237,AI진단평가,239,72.0,75.0,62.0,,30.0,,59.75
238,AI진단평가,260,75.0,68.0,27.0,,90.0,,65.0
239,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
240,AI진단평가,447,100.0,75.0,76.0,61.0,79.0,56.0,74.5
241,AI진단평가,188,40.0,86.0,62.0,,0.0,,47.0
242,AI진단평가,295,72.0,72.0,51.0,,100.0,,73.75
243,AI진단평가,137,79.0,58.0,0.0,,0.0,,34.25
244,AI진단평가,417,100.0,93.0,76.0,48.0,100.0,,83.4
245,AI진단평가,314,93.0,68.0,63.0,,90.0,,78.5
246,AI진단평가,563,100.0,79.0,94.0,100.0,100.0,90.0,93.83333333333331
247,AI진단평가,349,93.0,86.0,88.0,,82.0,,87.25
248,AI진단평가,387,100.0,93.0,94.0,,100.0,,96.75
249,AI진단평가,344,79.0,86.0,88.0,30.0,61.0,,68.8
250,AI진단평가,317,61.0,100.0,56.0,,100.0,,79.25
251,AI진단평가,414,79.0,86.0,88.0,,100.0,61.0,82.8
252,AI진단평가,239,0.0,61.0,63.0,15.0,100.0,,47.8
253,AI진단평가,262,61.0,79.0,51.0,,71.0,,65.5
254,AI진단평가,521,86.0,93.0,94.0,79.0,90.0,79.0,86.83333333333333
255,AI진단평가,353,72.0,93.0,55.0,33.0,100.0,,70.6
256,AI진단평가,590,100.0,100.0,100.0,100.0,100.0,90.0,98.33333333333331
257,AI진단평가,93,93.0,0.0,0.0,0.0,0.0,,18.6
258,AI진단평가,383,61.0,86.0,42.0,79.0,100.0,15.0,63.833333333333336
259,AI진단평가,392,86.0,86.0,82.0,38.0,100.0,,78.4
260,AI진단평가,422,93.0,100.0,94.0,45.0,90.0,,84.4
261,AI진단평가,413,93.0,86.0,83.0,61.0,90.0,,82.6
262,AI진단평가,504,100.0,72.0,71.0,82.0,100.0,79.0,84.0
263,AI진단평가,427,100.0,86.0,88.0,82.0,71.0,,85.4
264,AI진단평가,473,100.0,79.0,77.0,71.0,100.0,46.0,78.83333333333333
265,AI진단평가,342,72.0,86.0,94.0,,90.0,,85.5
266,AI진단평가,154,68.0,43.0,28.0,0.0,15.0,,30.8
267,AI진단평가,134,33.0,40.0,23.0,,38.0,,33.5
268,AI진단평가,404,93.0,79.0,42.0,100.0,90.0,,80.8
269,AI진단평가,248,100.0,72.0,61.0,,15.0,,62.0
270,AI진단평가,310,93.0,75.0,42.0,,100.0,,77.5
271,AI진단평가,291,36.0,58.0,70.0,71.0,56.0,,58.2
272,AI진단평가,90,36.0,54.0,0.0,,0.0,,22.5
273,AI진단평가,427,100.0,100.0,66.0,71.0,90.0,,85.4
274,AI진단평가,200,86.0,72.0,42.0,,0.0,,50.0
275,AI진단평가,363,86.0,61.0,55.0,71.0,90.0,,72.6
276,AI진단평가,380,86.0,100.0,94.0,,100.0,,95.0
277,AI진단평가,426,100.0,86.0,60.0,90.0,90.0,,85.2
278,AI진단평가,476,86.0,100.0,100.0,100.0,90.0,,95.2
279,AI진단평가,362,93.0,75.0,94.0,,100.0,,90.5
280,AI진단평가,304,79.0,47.0,62.0,45.0,71.0,0.0,50.66666666666666
281,AI진단평가,406,100.0,68.0,100.0,56.0,82.0,,81.2
282,AI진단평가,238,79.0,75.0,23.0,,61.0,,59.5
283,AI진단평가,431,100.0,100.0,62.0,79.0,90.0,,86.2
